names,rSCP,lSCP,rMCP,lMCP,rICP,lICP
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl26/label/sub-camctl26_ses-1_T1w,0.3352,0.2619,3.5819,3.9832,1.1626,1.3853
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl26/label/sub-camctl26_ses-2_T1w,0.2792,0.2903,3.5688,3.9057,1.2186,1.4597
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl27/label/sub-camctl27_ses-1_T1w,0.3114,0.2903,3.7583,4.1741,1.2699,1.4860
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl27/label/sub-camctl27_ses-2_T1w,0.2764,0.2852,3.7323,4.2049,1.2720,1.4226
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl28/label/sub-camctl28_ses-1_T1w,0.3522,0.3180,4.2588,4.6638,1.3818,1.5702
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl28/label/sub-camctl28_ses-2_T1w,0.3526,0.3005,4.1341,4.5472,1.3900,1.5343
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl29/label/sub-camctl29_ses-1_T1w,0.2974,0.2251,3.4857,3.7763,1.1011,1.2252
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl29/label/sub-camctl29_ses-2_T1w,0.2851,0.2208,3.4672,3.7756,1.0720,1.2762
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl30/label/sub-camctl30_ses-1_T1w,0.3798,0.3464,4.3140,4.7508,1.3946,1.6082
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl30/label/sub-camctl30_ses-2_T1w,0.3726,0.3459,4.2961,4.7009,1.4575,1.6291
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl31/label/sub-camctl31_ses-1_T1w,0.3736,0.3583,4.4132,4.8600,1.4765,1.6407
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl31/label/sub-camctl31_ses-2_T1w,0.3630,0.3415,4.3957,4.8281,1.4832,1.6424
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl31/label/sub-camctl31_ses-3_T1w,0.3797,0.3356,4.4066,4.7829,1.4246,1.6588
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl32/label/sub-camctl32_ses-1_T1w,0.3053,0.2954,3.9028,4.4982,1.2883,1.5058
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl32/label/sub-camctl32_ses-2_T1w,0.3030,0.2926,3.9657,4.4380,1.2864,1.4601
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl33/label/sub-camctl33_ses-1_T1w,0.3235,0.3356,4.1633,4.5436,1.4011,1.4966
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl33/label/sub-camctl33_ses-2_T1w,0.3345,0.3229,4.2907,4.6831,1.3912,1.5154
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl33/label/sub-camctl33_ses-3_T1w,0.3384,0.3200,4.2886,4.6413,1.4357,1.5742
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl35/label/sub-camctl35_ses-1_T1w,0.2844,0.2667,3.5852,4.0388,1.1706,1.2870
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl35/label/sub-camctl35_ses-2_T1w,0.3079,0.2557,3.6191,3.9592,1.1815,1.3078
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl36/label/sub-camctl36_ses-1_T1w,0.3188,0.2920,3.7625,4.2084,1.2825,1.4687
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl36/label/sub-camctl36_ses-2_T1w,0.3285,0.3035,3.7306,4.0867,1.2472,1.4618
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl37/label/sub-camctl37_ses-1_T1w,0.2554,0.2385,2.9065,3.1630,0.9704,1.1325
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl37/label/sub-camctl37_ses-2_T1w,0.2431,0.2288,2.8778,3.2212,1.0183,1.1958
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl38/label/sub-camctl38_ses-1_T1w,0.2518,0.2447,3.2389,3.6001,1.0766,1.2770
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl38/label/sub-camctl38_ses-2_T1w,0.2931,0.2860,3.3548,3.7026,1.0784,1.2820
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac01/label/sub-campac01_ses-1_T1w,0.2170,0.1853,2.8731,2.8425,0.8432,0.9299
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac01/label/sub-campac01_ses-2_T1w,0.1913,0.1977,2.7783,3.0445,0.7811,0.9564
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac01/label/sub-campac01_ses-3_T1w,0.2246,0.1747,2.8078,3.0308,0.7938,1.0521
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac02/label/sub-campac02_ses-1_T1w,0.2436,0.2131,3.5396,3.8252,1.0264,1.0654
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac02/label/sub-campac02_ses-2_T1w,0.2431,0.2339,3.3728,3.8809,0.9624,1.1786
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac02/label/sub-campac02_ses-3_T1w,0.2358,0.2203,3.3956,3.7649,1.0245,1.1425
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac02/label/sub-campac02_ses-4_T1w,0.1992,0.1817,3.2067,3.5291,0.8836,1.0371
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac03/label/sub-campac03_ses-1_T1w,0.3064,0.2988,4.4785,4.7853,1.2900,1.4891
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac03/label/sub-campac03_ses-2_T1w,0.3060,0.3130,4.2608,4.6489,1.2847,1.4572
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac03/label/sub-campac03_ses-3_T1w,0.2868,0.2806,4.2006,4.5504,1.1979,1.3529
